"logH" "logL" "logM" "logS" "logW"
5.0626 5.76205 3.85015 5.84354 4.21951
4.99721 5.743 3.95124 5.66988 4.02535
4.82028 5.57973 3.29584 5.11799 3.82864
4.64439 5.40268 2.56495 4.20469 3.63759
4.96284 5.61313 3.43399 5.47227 3.93183
4.59512 5.37528 2.63906 4.21951 3.55535
4.69135 5.3799 2.70805 4.31749 3.52636
4.77912 5.6058 3.13549 4.85203 3.78419
4.81218 5.60947 3.46574 5.01064 3.89182
4.90527 5.56068 3.4012 4.76217 3.8712
4.89035 5.6204 3.2581 5.24702 3.85015
4.83628 5.59842 3.17805 5.07517 3.91202
4.86753 5.63479 3.43399 5.35659 3.95124
4.89784 5.56834 3.43399 5.33754 3.91202
4.78749 5.743 3.73767 5.45959 4.11087
4.54329 5.39363 2.19722 3.95124 3.52636
4.62497 5.35659 2.56495 4.30407 3.46574
4.44265 5.27811 1.94591 3.73767 3.3322
4.64439 5.42053 2.56495 4.23411 3.63759
4.89784 5.64897 3.91202 5.59099 4.11087
4.91998 5.76832 3.66356 5.77765 4.09434
4.94164 5.80212 3.85015 5.88332 4.09434
4.83628 5.6204 3.68888 5.11799 3.82864
4.52179 5.22575 1.60944 3.49651 3.4012
4.58497 5.36129 2.48491 3.93183 3.55535
4.86753 5.67332 3.2581 5.1358 3.85015
4.91998 5.69709 3.46574 5.41165 3.98898
4.94164 5.65948 3.68888 5.47227 4.00733
4.66344 5.43808 2.77259 4.21951 3.68888
4.90527 5.68017 3.49651 5.33754 4.04305
4.90527 5.69709 3.3322 5.11799 3.8712
4.89784 5.66988 3.3322 5.23111 3.85015
4.90527 5.64191 3.73767 5.25227 3.95124
4.64439 5.39816 2.70805 4.06044 3.61092
4.90527 5.65948 3.29584 5.19296 3.98898
4.85981 5.42935 3.49651 5.23644 3.82864
4.67283 5.34711 2.63906 4.17439 3.49651
4.8752 5.7301 3.3673 5.70044 4.06044
4.82028 5.57973 3.2581 5.0689 3.8712
4.82028 5.59842 3.21888 4.97673 3.78419
4.59512 5.33754 2.19722 3.98898 3.49651
4.81218 5.62402 2.89037 4.85981 3.80666
4.70048 5.4848 3.13549 4.64439 3.66356
4.65396 5.38907 2.56495 4.18965 3.63759
4.46591 5.1358 1.79176 3.17805 3.29584
4.31749 5.01064 1.79176 2.94444 3.04452
4.45435 5.16479 2.07944 3.58352 3.4012
4.23411 5.01064 1.60944 2.89037 3.09104
4.36945 5.0876 1.79176 2.99573 3.21888
4.82028 5.52943 3.09104 4.89035 3.85015
4.8752 5.61677 3.17805 5.18739 3.8712
4.67283 5.41165 2.56495 4.23411 3.58352
4.60517 5.35186 2.3979 4.07754 3.49651
4.83628 5.53733 2.89037 4.78749 3.82864
4.7362 5.45532 2.83321 4.27667 3.61092
4.68213 5.39816 2.70805 4.30407 3.61092
4.38203 5.11799 1.94591 3.29584 3.29584
4.66344 5.39363 2.63906 3.95124 3.58352
4.77068 5.42495 2.63906 4.33073 3.55535
4.41884 5.17615 2.07944 3.21888 3.21888
4.7185 5.43808 2.89037 4.82831 3.85015
4.8828 5.66296 3.17805 4.92725 3.82864
4.84419 5.61677 3.3673 5.25227 3.98898
4.78749 5.60947 3.04452 4.99721 3.73767
4.70048 5.50533 2.83321 4.49981 3.61092
4.74493 5.52146 2.83321 4.78749 3.7612
4.8752 5.66988 3.52636 5.31321 3.8712
4.70953 5.42053 2.77259 4.15888 3.55535
4.79579 5.59471 3.09104 4.82028 3.80666
4.79579 5.58725 3.17805 5.03044 3.8712
4.81218 5.57215 2.94444 5.01728 3.8712
4.64439 5.3799 2.56495 4.21951 3.58352
4.5326 5.23644 2.30259 3.93183 3.49651
4.33073 5.02388 1.60944 2.94444 3.21888
4.7185 5.42495 2.70805 4.47734 3.63759
4.7185 5.48894 2.48491 4.11087 3.80666
4.81218 5.56068 3.17805 4.89035 3.78419
4.61512 5.27811 2.70805 4.21951 3.55535
4.65396 5.39363 2.77259 4.15888 3.58352
