T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,Tw,S,Mw_inverse,Mn_inverse,LCB,SCB,VNL,VND
0.6928,0.9608,1.104,1.2047,1.2789,1.342,1.4042,1.4552,1.5038,1.5608,1.6357,1.7501,2.083,2.0608,2.0086,1.9623,1.9129,1.8708,1.827,1.7848,392.53,-0.0032,2.7986,4.815,0.2148,30.0626,0.017,0.1473
0.786,1.0581,1.2026,1.3067,1.3912,1.4639,1.5448,1.6389,1.7656,2.1078,2.0608,2.006,1.9571,1.9058,1.8587,1.8157,1.77,1.7322,1.6977,1.6617,394.96,-0.0067,2.9553,4.834,0.199,32.4636,0.0174,0.1543
0.8671,1.14,1.2928,1.3997,1.4933,1.5859,1.7248,2.1124,2.073,2.0241,1.9695,1.9163,1.8747,1.8305,1.7894,1.755,1.7162,1.686,1.6585,1.628,398.96,0.0035,3.0127,5.912,0.1855,33.4076,0.018,0.1562
0.9335,1.2032,1.3592,1.4807,1.5982,1.7487,2.1203,2.074,2.0071,1.9677,1.9168,1.8764,1.8355,1.7996,1.7666,1.7289,1.7042,1.6783,1.6563,1.637,404.62,-0.0008,2.9277,6.443,0.1748,35.2367,0.0183,0.1588
0.9935,1.2611,1.4312,1.5627,1.7139,2.1388,2.0821,2.0273,1.9765,1.9386,1.893,1.8563,1.8235,1.79,1.7648,1.7356,1.7151,1.695,1.6742,1.6582,412.2,0.0077,3.1592,7.134,0.1759,34.8562,0.0185,0.1613
0.8191,1.0972,1.255,1.3627,1.4644,1.5703,1.6829,1.9511,2.0934,2.0386,1.9929,1.9485,1.906,1.8621,1.8231,1.7842,1.7524,1.7181,1.6911,1.6597,400.71,0.004,2.8516,6.035,0.1874,34.1321,0.0179,0.1604
0.8659,1.136,1.2878,1.3976,1.4991,1.6002,1.7246,2.111,2.0701,2.0179,1.9672,1.917,1.8748,1.8337,1.789,1.7516,1.7184,1.6857,1.6524,1.6305,399.84,-0.0083,3.1923,6.022,0.1822,33.5181,0.0178,0.157
0.9034,1.1689,1.3216,1.4268,1.5192,1.624,1.7563,2.1224,2.0635,2.0003,1.9484,1.8949,1.8478,1.8047,1.7616,1.7204,1.6919,1.6558,1.6262,1.6031,400.38,0.0058,3.1852,6.23,0.184,32.5257,0.0179,0.1582
0.9381,1.1984,1.3425,1.4466,1.5351,1.6395,1.7867,2.1065,2.0439,1.9844,1.9257,1.877,1.825,1.7835,1.7368,1.701,1.667,1.6346,1.6045,1.5836,400.5,-0.0046,2.9748,5.683,0.1859,32.7346,0.0177,0.1551
0.8579,1.1225,1.2654,1.3723,1.4578,1.5348,1.6146,1.7114,1.8898,2.0712,2.0079,1.9582,1.9114,1.8706,1.8325,1.7876,1.7494,1.717,1.687,1.6573,400.55,0.0135,2.6396,5.258,0.1824,31.5257,0.017,0.1501
0.8596,1.1263,1.2788,1.3849,1.477,1.5603,1.6488,1.7793,2.097,2.0429,1.9949,1.9439,1.9012,1.8568,1.8131,1.7708,1.7338,1.7009,1.672,1.6443,400.67,0.0043,2.6139,6.27,0.1737,32.6119,0.0173,0.1515
